gene_id,symbol,HPctrl1,HPctrl2,HPctrl3,HPctrl4,HP1hr1,HP1hr2,HP1hr3,HP1hr4,HP4hr1,HP4hr2,HP4hr3,HP4hr4
ENSMUSG00002076977,ENSMUSG00002076977,NA,NA,1.17116204,2.941738695,0.981122523,2.307445942,NA,0.837087612,NA,4.303119708,NA,1.672421109
ENSMUSG00002076974,ENSMUSG00002076974,2.779497652,NA,NA,1.96115913,NA,NA,1.125316253,0.837087612,0.925231191,5.378899635,NA,2.508631664
ENSMUSG00002076968,ENSMUSG00002076968,2.779497652,5.586472927,3.513486119,3.92231826,0.981122523,2.307445942,2.250632506,0.837087612,8.327080721,9.682019343,5.356473929,3.344842218
ENSMUSG00002076960,ENSMUSG00002076960,2.779497652,4.655394106,9.369296318,5.88347739,2.943367569,6.922337825,7.87721377,0.837087612,1.850462382,11.8335792,9.641653072,1.672421109
ENSMUSG00002076957,ENSMUSG00002076957,19.45648357,5.586472927,12.88278244,7.84463652,14.71683784,13.84467565,10.12784628,11.71922656,9.252311912,15.06091898,11.78424264,10.03452665
ENSMUSG00002076943,ENSMUSG00002076943,2.779497652,NA,NA,NA,NA,NA,NA,1.674175223,3.700924765,1.075779927,1.071294786,NA
ENSMUSG00002076929,ENSMUSG00002076929,0.926499217,NA,NA,NA,1.962245046,1.153722971,NA,NA,NA,NA,1.071294786,NA
ENSMUSG00002076924,ENSMUSG00002076924,15.7504867,26.07020699,10.54045836,12.74753434,22.56581803,49.61008775,30.38353883,22.60136551,38.85971003,54.86477627,26.78236964,12.54315832
ENSMUSG00002076912,ENSMUSG00002076912,2.779497652,1.862157642,1.17116204,NA,NA,2.307445942,3.375948759,0.837087612,NA,1.075779927,NA,2.508631664
ENSMUSG00002076905,ENSMUSG00002076905,0.926499217,NA,NA,NA,NA,4.614891883,1.125316253,NA,NA,2.151559854,1.071294786,NA
ENSMUSG00002076903,ENSMUSG00002076903,18.52998435,9.310788211,23.42324079,8.825216085,0.981122523,27.6893513,7.87721377,1.674175223,12.02800549,31.19761788,5.356473929,6.689684437
ENSMUSG00002076894,ENSMUSG00002076894,10.19149139,2.793236463,8.198134278,0.980579565,8.830102706,5.768614854,1.125316253,8.370876116,4.626155956,NA,16.06942179,10.87073721
ENSMUSG00002076882,ENSMUSG00002076882,NA,0.931078821,2.342324079,NA,1.962245046,4.614891883,3.375948759,NA,6.476618339,2.151559854,2.142589571,NA
ENSMUSG00002076874,ENSMUSG00002076874,2.779497652,1.862157642,NA,NA,NA,3.461168913,NA,2.511262835,6.476618339,5.378899635,1.071294786,1.672421109
ENSMUSG00002076842,ENSMUSG00002076842,NA,2.793236463,3.513486119,0.980579565,0.981122523,NA,1.125316253,NA,NA,NA,NA,NA
ENSMUSG00002076838,ENSMUSG00002076838,1.852998435,NA,NA,NA,1.962245046,NA,NA,NA,NA,4.303119708,2.142589571,NA
ENSMUSG00002076834,ENSMUSG00002076834,0.926499217,NA,NA,3.92231826,0.981122523,2.307445942,NA,2.511262835,NA,1.075779927,NA,0.836210555
ENSMUSG00002076824,ENSMUSG00002076824,NA,NA,NA,2.941738695,NA,NA,1.125316253,1.674175223,NA,NA,3.213884357,2.508631664
ENSMUSG00002076823,ENSMUSG00002076823,3.70599687,0.931078821,NA,NA,NA,NA,NA,0.837087612,1.850462382,NA,2.142589571,NA
ENSMUSG00002076820,ENSMUSG00002076820,2.779497652,3.724315284,NA,NA,NA,NA,1.125316253,NA,0.925231191,4.303119708,6.427768714,2.508631664
ENSMUSG00002076816,ENSMUSG00002076816,10.19149139,14.89726114,5.855810199,10.78637521,9.811225229,8.076060796,10.12784628,10.88213895,4.626155956,5.378899635,4.285179143,4.181052773
ENSMUSG00002076781,ENSMUSG00002076781,2.779497652,3.724315284,2.342324079,2.941738695,NA,NA,4.501265012,2.511262835,3.700924765,2.151559854,3.213884357,1.672421109
ENSMUSG00002076693,ENSMUSG00002076693,2.779497652,1.862157642,2.342324079,NA,NA,1.153722971,2.250632506,NA,0.925231191,2.151559854,1.071294786,NA
